"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","ERROR","2022-06-07T23:02:31.940+01:00[Europe/London]","0.0","0.38"
"Users CRUD test","Verify is User is added or not","ERROR","2022-06-07T23:02:32.409+01:00[Europe/London]","0.0","0.03"
"Users CRUD test","This will login a user","ERROR","2022-06-07T23:02:32.441+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","This will update a user by PUT","ERROR","2022-06-07T23:02:32.472+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","This will update a user by Patch","ERROR","2022-06-07T23:02:32.503+01:00[Europe/London]","0.0","0.03"
"Users CRUD test","This will update a user by Patch","ERROR","2022-06-07T23:02:32.550+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","1. This will verify if Page = 2","ERROR","2022-06-07T23:02:32.566+01:00[Europe/London]","0.0","0.03"
"Users CRUD test","2. This will if verify Per_page = 6","ERROR","2022-06-07T23:02:32.597+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","3. This will if verify second data id = 8","ERROR","2022-06-07T23:02:32.613+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","4. This will if verify forth data first_name = Byron","ERROR","2022-06-07T23:02:32.628+01:00[Europe/London]","0.0","0.0"
"Users CRUD test","5. This will if verify list of data = 6","ERROR","2022-06-07T23:02:32.644+01:00[Europe/London]","0.0","0.0"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","ERROR","2022-06-07T23:02:32.659+01:00[Europe/London]","0.0","0.0"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","ERROR","2022-06-07T23:02:32.659+01:00[Europe/London]","0.0","0.02"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","ERROR","2022-06-07T23:02:32.675+01:00[Europe/London]","0.0","0.03"
